goalType,clusterType,startTime,endTime,fileName,summary
parent',search',1697225640,1697230360,none,revisit: GitHub - TriPham2110/webActivities;'
parent',search',1697232016,1697232287,none,search: what is my ip;'
parent',search',1697232571,1697233585,none,search: google maps change ip address api access;'
parent',search',1697489093,1697557950,none,revisit: Google Cloud Platform;'
parent',search',1697557985,1697560318,none,search: why does google maps api only return a few results;'
parent',code',1697559598,1697560051,example.py,- while tokenCount  10:'
parent',code',1697560051,1697560728,example.py,+     return response'
parent',code',1697560927,1697561199,example.py,+ import time'
parent',search',1697561124,1697561933,none,search: google maps api get more than 60 restaurants;'
parent',code',1697561199,1697561719,example.py,-     time.sleep(1)'
parent',code',1697561755,1697563302,example.py,+ thought process: I know'
parent',search',1697562082,1697563047,none,search: use google maps api to get a total count of restaurants in city;'
parent',search',1697563554,1697563744,none,search: meter to longitude and latitude conversion;'
parent',search',1697564058,1697564144,none,search: circles and angles overlap playground;'
parent',code',1697564874,1697567077,example.py,- import requests'
parent',search',1697565107,1697565167,none,search: equal circles with 60 degree overlap;'
parent',search',1697565823,1697566124,none,search: read from file in javascript;'
parent',search',1697566516,1697566648,none,search: google maps change API key;'
parent',code',1697567534,1697573764,example.py,- import requests'
parent',code',1697574843,1697575116,example.py,- import requests'
parent',code',1697575144,1697575757,example.py,- import requests'
parent',search',1697575243,1697575390,none,search: 30 60 90 triangle;'
parent',search',1697575552,1697575561,none,revisit: Algorithm - Circle Overlapping - Mathematics Stack Exchange;'
parent',code',1697575767,1697576471,example.py,- import requests'
parent',search',1697576073,1697576421,none,search: how many degrees in circle;'
parent',search',1697576572,1697576691,none,revisit: https://chat.openai.com/;'
parent',code',1697578450,1697579290,example.py,- print(startLatitude
parent',search',1697579452,1697579516,none,revisit: Google Maps;'
parent',code',1697579663,1697579864,visualizeData.py,+ import numpy as np
parent',search',1697579674,1697579888,none,search: numpy log;'
parent',code',1697579864,1697580351,visualizeData.py,+ import mplcursors'
parent',search',1697580783,1697638486,none,revisit: Google Maps;'
parent',code',1697580974,1697638511,visualizeData.py,+ min_rating = 4.6'
parent',code',1697638511,1697639016,visualizeData.py,- min_rating = 4.6'
parent',code',1697639016,1697639561,visualizeData.py,+ rating_dfs = []'
parent',code',1697639668,1697640369,example.py,- import requests'
parent',search',1697639872,1697639954,none,revisit: Google Cloud Platform;'
parent',code',1697642038,1697642219,example.py,- import requests'
parent',search',1697642166,1697642227,none,revisit: Google Cloud Platform;'
parent',search',1697642629,1697644583,none,search: google maps types of places;'
parent',code',1697644656,1697644675,visualizeData.py,some relevant change
